feature,importance
richness_score,0.796999252717173
completeness_score,0.1356961773564124
freshness_score,0.05039244171551689
description_length,0.013669764136350696
poi_density,0.0010480750528703868
has_description,0.0010303348859660017
context_score,0.0009348293228430472
latitude,0.0001563302342999972
longitude,3.9009535101300094e-05
nb_languages,3.2056764287616294e-05
has_phone,8.719757617218024e-07
has_email,4.756807481238474e-07
has_website,3.8062266875282903e-07
has_name,0.0
has_gps,0.0
has_type,0.0
